dummy,average_temp,low_temp,temp_range,precipitation,average_wind,average_humidity,low_humidity,total_daylight,average_ground_temp,average_vapor_pressure,average_atmos_pressure
0,22.4,16.4,0,1.6,61,29,10.5,24.3,15.7,1006.8,13.5
0,23.1,17.6,0,1.8,67.1,46,7.5,24.5,18.7,1007.9,10.6
0,21.6,20,23.1,3,88,66,0,22.2,22.5,1001.7,4.2
0,22.4,19.8,4.6,2.8,73.4,45,6,22.6,19.4,996.4,7.5
0,22.4,18,0,2.1,71.5,50,9.9,22.9,19.1,1002.4,9.8
0,18.7,14.7,0.6,2.9,72.6,59,2.3,20.8,15.8,1006.1,7.2
0,18.1,13.2,0,2.9,53.4,38,9.4,19.1,11,1012.3,9.5
0,14.8,13.3,25.4,1.8,92,58,0,16.7,15.4,1007.9,4.6
0,14.7,10.6,0,2.6,58.8,26,10.3,16.7,9.5,1008.2,9.2
0,13.6,7.7,0,1.7,48.3,23,10.6,14.1,7.2,1009.5,12.7
0,15.2,10.7,0,1.3,60.9,39,1.1,16,10.4,1006.3,9.1
0,18.8,13,0,1.9,60,30,10.3,18.4,12.5,1005.2,13.1
0,17.9,13.3,0,3.5,49.3,34,10.5,18.2,9.8,1008,10
0,17.2,12.1,0,1.9,52.6,32,10.6,17.8,10,1012.2,11.7
0,14.4,9.5,0,2.5,56.9,33,10.1,17.1,9.2,1014.8,10.1
0,14.5,8.8,0,1.6,55.6,38,7.7,14.5,9.1,1017.6,11.6
0,14.6,9,0,1.6,58.3,32,9.8,16.3,9.2,1016,11.8
0,15.4,11.2,0,1.7,56,31,7.4,17.2,9.4,1014.1,10.4
0,17,12,0,2.4,58.3,43,8,17.4,11.2,1011.9,10.7
0,17,12.1,0,1.8,63.8,38,10.2,17.5,12,1010.4,11
0,16.5,12,0,1.3,70.3,38,9.3,18.1,12.7,1011.4,10.9
0,17.1,10.9,0,1,61,28,9.6,15.9,11.3,1008.5,13.7
0,18.1,13.3,0,1.6,56.1,35,9.1,18.3,11.3,1007.5,11.1
0,17,14.3,0,2.4,57.3,42,0.7,17.3,10.9,1008.9,6.4
0,18.3,15.3,0,2.7,47.6,33,6.6,19.4,9.8,1009.1,8.5
0,16.7,13.1,0,2.4,58,34,7.1,17.2,10.8,1007.4,8.9
0,10,6.6,0,2.5,60,39,8.7,12.6,7.2,1008.5,8.3
0,11,4.7,0,1.6,59,34,9.8,12,7.5,1009.1,12.7
0,12.9,7.4,1.7,2.5,65.9,39,7.3,13,9.5,1005.3,10.3
0,12.5,8.2,0.1,2.3,61,32,9,12.4,8.6,1005.5,9.4
0,11.2,5,0,1.6,60.3,37,9.6,11.2,7.8,1011.1,12.7
